filename,sha256,aircraft_name,product_type,aircraft_sn,battery_sn,start_time_utc,total_time_s,total_distance_m,max_height_m,max_hspeed_mps,app_platform,app_version,capture_num,already_on_bos
DJIFlightRecord_2023-08-01_[15-24-08].txt,23363d584d3746b595be4ac6063ccd5ec4e7fc83028091e15bd1a5962844e589,Bad Mother Fucker,Mavic3Pro,1581F67QE236L00A,4ERKL536G31L85,2023-08-01T22:24:08.596+00:00,759.6,7.6,408.0,21.1,DJIFly,1.11.0,0,no
DJIFlightRecord_2023-08-01_[16-49-01].txt,c5e3946c56b326706c0a7409fa6154e0b2adf50a7724b8a09a867b54eb315283,Bad Mother Fucker,Mavic3Pro,1581F67QE236L00A,4ERKL656G312D5,2023-08-01T23:49:01.484+00:00,1011.3,6.3,462.0,21.3,DJIFly,1.11.0,0,no
DJIFlightRecord_2023-08-01_[17-08-10].txt,9e3dc55ad7b3d2ff2b7cf3dfe84418774e9302cca90ca9a94aa869345da1f32d,Bad Mother Fucker,Mavic3Pro,1581F67QE236L00A,4ERKL656G312D5,2023-08-02T00:08:10.873+00:00,391.4,1.3,110.0,21.0,DJIFly,1.11.0,0,no
DJIFlightRecord_2023-08-02_[14-58-48].txt,f46e29dd4001ed707930ea840821e09dfc2c978e458735d29e18871635a0501b,Bad Mother Fucker,Mavic3Pro,1581F67QE236L00A,4ERKL536G31L85,2023-08-02T21:58:48.924+00:00,5.5,0.0,0.0,0.0,DJIFly,1.11.0,0,no
DJIFlightRecord_2023-08-02_[16-16-59].txt,d5dedbb1c5d27ad3aed8d695b3cdc29b77cb14fddc89d2e11a4c6fdc9869fbcf,Bad Mother Fucker,Mavic3Pro,1581F67QE236L00A,4ERKL656G30QN5,2023-08-02T23:16:59.701+00:00,98.8,0.1,0.0,6.7,DJIFly,1.11.0,0,no
DJIFlightRecord_2023-08-02_[16-18-49].txt,db458eceff1b3bf7fab57da0f7947d50493f69638c3a1ce9c1927ee16a528396,Bad Mother Fucker,Mavic3Pro,1581F67QE236L00A,4ERKL656G30QN5,2023-08-02T23:18:49.367+00:00,424.8,5.6,191.0,21.2,DJIFly,1.11.0,0,no
DJIFlightRecord_2023-08-02_[16-26-19].txt,7b15221d0d3fd8e8992d1b8583cb704cc0ddf56b82460f2103fcfca866453867,Bad Mother Fucker,Mavic3Pro,1581F67QE236L00A,4ERKL656G30QN5,2023-08-02T23:26:19.722+00:00,10.2,0.0,0.0,0.0,DJIFly,1.11.0,0,no
DJIFlightRecord_2023-08-02_[22-34-06].txt,61e6ad309e2ec7183b5a98f0eb3fda3e5a236eb361d8abd4b9440f6b7402fe6f,Bad Mother Fucker,Mavic3Pro,1581F67QE236L00A,4ERKL656G30QN5,2023-08-03T05:34:06.810+00:00,330.9,0.1,132.0,5.0,DJIFly,1.11.0,0,no
DJIFlightRecord_2023-08-04_[16-57-51].txt,c0298001bc7327b44697c9995313f412531bb528f32018b084fac64db15d7acb,Bad Mother Fucker,Mavic3Pro,1581F67QE236L00A,4ERKL536G31L85,2023-08-04T23:57:51.012+00:00,695.1,5.5,261.0,21.4,DJIFly,1.11.0,0,no
DJIFlightRecord_2023-08-09_[17-08-22].txt,68ad91d979091b03797f1b9f0a6eecb7fbb9b6fd9b216d1e6fe7bb3050d3c067,Bad Mother Fucker,Mavic3Pro,1581F67QE236L00A,4ERKL536G31L85,2023-08-10T00:08:22.471+00:00,1281.0,7.8,312.0,21.3,DJIFly,1.11.0,0,no
DJIFlightRecord_2023-08-12_[14-26-54].txt,1a722c51c742952612b64c9bcc19c12f5589b617d47b2d33fe8a8d9b79924662,Bad Mother Fucker,Mavic3Pro,1581F67QE236L00A,4ERKL536G31L85,2023-08-12T21:26:54.299+00:00,524.3,5.2,343.0,20.7,DJIFly,1.11.0,0,no
DJIFlightRecord_2023-08-13_[14-47-22].txt,8d2f879922561e33b313d1e23518e924dd4513e5d7b6fa5aefd25aca891277ed,Bad Mother Fucker,Mavic3Pro,1581F67QE236L00A,4ERKL536G31L85,2023-08-13T21:47:22.758+00:00,562.7,7.7,240.0,21.2,DJIFly,1.11.0,0,no
DJIFlightRecord_2023-08-21_[06-16-05].txt,51cd2a83b70e817537b5c207a099601e1e12a4aca268c6c14e329635988cb919,Bad Mother Fucker,Mavic3Pro,1581F67QE236L00A,4ERKL536G31L85,2023-08-21T13:16:05.849+00:00,886.9,9.3,500.0,21.5,DJIFly,1.11.0,0,no
DJIFlightRecord_2023-08-25_[21-04-06].txt,b2e98ffe1a0129f26e514c8fc0600c6f2d493e5301c5e4de4cd592069b995f6b,Bad Mother Fucker,Mavic3Pro,1581F67QE236L00A,4ERKL656G30QN5,2023-08-26T04:04:06.880+00:00,1323.2,13.4,500.0,21.3,DJIFly,1.11.0,0,no
DJIFlightRecord_2023-08-26_[12-56-11].txt,9353931883e7a8c990fcc22be4cc9b8ac9f9ed8e9ae222b40986cdcc17920eb9,Bad Mother Fucker,Mavic3Pro,1581F67QE236L00A,4ERKL656G30QN5,2023-08-26T19:56:11.481+00:00,1114.5,14.9,500.0,21.4,DJIFly,1.11.0,0,no
DJIFlightRecord_2023-08-26_[18-38-08].txt,4d554791615d1110e4a2b8cd274e458ccc19ab99ad6e102332bfdf6a67a456d1,Bad Mother Fucker,Mavic3Pro,1581F67QE236L00A,4ERKL656G312D5,2023-08-27T01:38:08.902+00:00,644.1,1.2,34.0,20.7,DJIFly,1.11.0,0,no
DJIFlightRecord_2023-08-27_[20-08-25].txt,2edc4437a836cf64dd45a1debd8319da6de2a248e966a3a4ae8bee5231d31cbf,Bad Mother Fucker,Mavic3Pro,1581F67QE236L00A,4ERKL656G312D5,2023-08-28T03:08:25.972+00:00,638.8,5.8,125.0,21.4,DJIFly,1.11.0,0,no
DJIFlightRecord_2023-08-30_[15-15-14].txt,3fc26fc3da52e7e8a6d47afa7b9be608d33a724f331928fd3a152beffbf67480,Bad Mother Fucker,Mavic3Pro,1581F67QE236L00A,4ERKL536G31L85,2023-08-30T22:15:14.258+00:00,1559.8,5.1,170.0,21.2,DJIFly,1.11.0,0,no
DJIFlightRecord_2023-09-04_[18-12-20].txt,d8816383ac03ae653117c4b09f953f954d8b086e3fcc45aa0d3056624c09a920,Bad Mother Fucker,Mavic3Pro,1581F67QE236L00A,4ERKL656G30QN5,2023-09-05T01:12:20.910+00:00,949.1,6.0,373.0,21.2,DJIFly,1.11.0,0,no
